id,label
EDS 355B,EDS 355B. Advanced Mathematics Teaching Practices for Grades K–6 (2)
EDS 355C,EDS 355C. Advanced Mathematics Teaching Practices for Grades K–6 (2)
EDS 361A,EDS 361A. Innovative Instructional Practices I (6)
EDS 361B,EDS 361B. Innovative Instructional Practices II (6)
EDS 361C,EDS 361C. Innovative Instructional Practices III (4)
EDS 369A,EDS 369A. Multiple Subject (Elementary) Student Teaching Practicum-I (9)
EDS 369B,EDS 369B. Multiple Subject (Elementary) Student Teaching Practicum-II (9)
EDS 372,EDS 372. World Language Teaching Practices (4)
EDS 373,EDS 373. Secondary English Teaching Practices (4)
EDS 374,EDS 374. Secondary Mathematics Teaching Practices (4)
EDS 375,EDS 375. Secondary Science Teaching Practices (4)
EDS 376,EDS 376. Language and Learning Instruction (4)
EDS 379A,EDS 379A. Single Subject (Secondary) Internship Practicum I (8)
EDS 379B,EDS 379B. Single Subject (Secondary) Internship Practicum II (8)
EDS 379C,EDS 379C. Single Subject (Secondary) Internship Practicum III (8)
EDS 381,EDS 381. Health Education (4)
EDS 382,EDS 382. Inclusive Educational Practices (4)
EDS 385,EDS 385. Elementary School Mathematics Content and Pedagogy (4)
EDS 201,EDS 201. Introduction to Resources for Teaching and Learning (4)
EDS 203,"EDS 203. Technology, Teaching, and Learning (4)"
EDS 204,EDS 204. Technology and Professional Assessment (4)
EDS 205A,EDS 205A. Reflective Teaching Practice (2)
EDS 205B,EDS 205B. Reflective Teaching Practice (2)
EDS 206,EDS 206. Teaching Performance Assessment Portfolio (4)
EDS 229,EDS 229. Introduction to Educational Resources (4)
EDS 230A-B-C,EDS 230A-B-C. Research in Curriculum Design (4-4-4)
EDS 231,EDS 231. Advanced Topics in Instructional Practices (4)
EDS 232,EDS 232. Special Topics in Education (4)
EDS 233A,EDS 233A. Topics in Education Research and Design (2)
EDS 233B,EDS 233B. Topics in Education Research and Design (2)
EDS 240A,EDS 240A. Research in ASL-English Bilingual Education (4)
EDS 240B,EDS 240B. Research in ASL-English Bilingual Education (4)
EDS 240C,EDS 240C. Research in ASL-English Bilingual Education (4)
EDS 250,EDS 250. Equitable Educational Research and Practice (4)
EDS 251,EDS 251. Transforming Learning Environments (4)
EDS 252,EDS 252. Transforming Inequities in Student Outcomes (4)
EDS 253,EDS 253. Transforming Educational Systems and Policy (4)
EDS 254,EDS 254. Introduction to Research Design and Quantitative Data Analysis (4)
EDS 255,EDS 255. Advanced Quantitative Data Analysis (4)
EDS 256,EDS 256. Introduction to Mixed Methods Research Design and Analysis (4)
EDS 257,EDS 257. Case Study Research (4)
EDS 259,EDS 259. Communicating Research (2)
EDS 260A,EDS 260A. Educational Research and Evaluation Design (4)
EDS 260B,EDS 260B. Educational Research and Evaluation Design (4)
EDS 260C,EDS 260C. Educational Research and Evaluation Design (4)
EDS 261A,EDS 261A. Advanced Research and Evaluation Methods (4)
EDS 261B,EDS 261B. Advanced Research and Evaluation Methods (4)
EDS 261C,EDS 261C. Advanced Research and Evaluation Methods (4)
EDS 262A,EDS 262A. Dissertation Writing Seminar (4)
EDS 262B,EDS 262B. Dissertation Writing Seminar (4)
EDS 262C,EDS 262C. Dissertation Writing Seminar (4)
EDS 263,EDS 263. Developmental Theory and Culture (4)
EDS 264,EDS 264. Introduction to Qualitative Analysis (4)
EDS 265,EDS 265. Special Topics in Qualitative Methods (4)
EDS 266,EDS 266. Special Topics in Quantitative Methods (4)
EDS 267,EDS 267. Contexts for Teaching and Change (4)
EDS 268,EDS 268. Introduction to Critical Race Theory and Education (4)
EDS 270,EDS 270. Leadership and Equity in Educational Reform (4)
EDS 272,EDS 272. Education and Culture (4)
EDS 278/COGR 278,"EDS 278/COGR 278. Talking Culture, Culture Talking: Voices of Diversity (4)"
EDS 280,EDS 280. Rethinking Leadership (4)
EDS 281,EDS 281. Leadership for Learning (4)
EDS 282,EDS 282. Leadership for a Diverse Society (4)
EDS 283,EDS 283. Leadership for Organizational Change (4)
EDS 284,EDS 284. Leadership for Organizational Development (4)
EDS 285,EDS 285. Leadership for the Future (4)
EDS 286,EDS 286. Advanced Topics in Leadership (4)
EDS 287A,EDS 287A. Educational Research and Evaluation Design A (4)
EDS 287B,EDS 287B. Educational Research and Evaluation Design B (4)
EDS 287C,EDS 287C. Educational Research and Evaluation Design C—Qualitative Methods (4)
EDS 288A,EDS 288A. Advanced Research and Evaluation Methods A—Quantitative Methods (4)
EDS 288B,EDS 288B. Advanced Research and Evaluation Methods B—Qualitative Methods (4)
EDS 288C,EDS 288C. Advanced Research and Evaluation Methods C—Quantitative Methods (4)
EDS 289A,EDS 289A. Dissertation Writing Seminar (4)
EDS 289B,EDS 289B. Dissertation Writing Seminar (4)
EDS 289C,EDS 289C. Dissertation Writing Seminar (4)
EDS 289D,EDS 289D. Dissertation Writing Seminar (4)
EDS 290,EDS 290. Research Practicum (1–12)
EDS 291A,EDS 291A. Leadership Research Practicum (2)
EDS 291B,EDS 291B. Leadership Research Practicum (2)
EDS 292,EDS 292. Qualifying Paper Preparation (2)
EDS 293A,EDS 293A. Advanced Leadership Research Practicum (2)
EDS 293B,EDS 293B. Advanced Leadership Research Practicum (2)
EDS 294A,EDS 294A. Colloquium on Educational Leadership (2)
EDS 294B,EDS 294B. Colloquium on Educational Leadership (2)
EDS 295,EDS 295. MA Thesis (1–8)
EDS 296,EDS 296. Research Apprenticeship Course (2–12)
EDS 297,EDS 297. Directed Group Study (1–6)
EDS 298,EDS 298. Independent Study (1–6)
EDS 299,EDS 299. Dissertation Research (1–12)
EDS 500,EDS 500. Apprentice Teaching in Education (2–4)
ERC 1,ERC 1. First Year Experience (2)
ERC 2,ERC 2. Transfer Year Experience (2)
ERC 20,ERC 20. First-year Student Honors Seminar: International Themes (1)
ERC 89,ERC 89. Practicum in Math Tutoring (2)
ERC 92,ERC 92. Honors Project (2)
ERC 188,ERC 188. Transfer Seminar: The Research University (1)
ERC 192A,ERC 192A. Global Service Research Seminar (2)
ERC 192B,ERC 192B. Global Service Research Seminar (2)
ERC 196,ERC 196. Honors Project (4)
ERC 199,ERC 199. ERC Independent Studies (4)
ERC 90,ERC 90. Undergraduate Seminar (1)
ENG 10,ENG 10. Fundamentals of Engineering Applications (2)
ENG 15,ENG 15. Engineer Your Success (2)
ENG 20,ENG 20. Introduction to Engineering Research (2)
ENG 100A,ENG 100A. Team Engineering (2)
ENG 100B,ENG 100B. Engineering Leadership (2)
ENG 100C,ENG 100C. Technical Writing/Communication for Engineers and Scientist (2)
ENG 100D,ENG 100D. Design for Development (4)
ENG 100L,ENG 100L. Design for Development Lab (2)
ENG 201,ENG 201. Venture Mechanics (4)
ENG 202,ENG 202. Enterprise Dynamics (4)
ENG 203,ENG 203. Applied Innovations (4)
ENG 207,ENG 207. Corporate Entrepreneurship for Global Competitiveness (4)
ENG 208,ENG 208. Basics of Entrepreneurism and Technology Commercialization (4)
ENG 210,ENG 210. Systems Engineering (4)
ENG 211,ENG 211. Engineering Leadership in Academia (4)
BENG 1,BENG 1. Introduction to Bioengineering (2)
BENG 2,BENG 2. Introductory Computer Programming and Matlab (2)
BENG 87,BENG 87. First-year Student Seminar (1)
BENG 97,BENG 97. Internship/Field Studies (1–4)
BENG 98,BENG 98. Directed Group Study (1–4)
BENG 99,BENG 99. Independent Study for Undergraduates (4)
BENG 99H,BENG 99H. Independent Study (1)
BENG 100,BENG 100. Statistical Reasoning for Bioengineering Applications (4)
BENG 102,BENG 102. Molecular Components of Living Systems (4)
BENG 103B,"BENG 103B. Bioengineering Mass Transfer (4) Mass transfer in solids, liquids, and gases with application to biological systems"
BENG 110,BENG 110. Musculoskeletal Biomechanics (4)
BENG 112A,BENG 112A. Soft Tissue Biomechanics (4)
BENG 112B,BENG 112B. Fluid and Cell Biomechanics (4)
BENG 119A,BENG 119A. Design Development in Biomechanics (3)
BENG 119B,BENG 119B. Design Implementation in Biomechanics (3)
BENG 120,BENG 120. Organic Chemistry Structural and Design Principles (4)
BENG 122A,BENG 122A. Biosystems and Control (4)
BENG 123,BENG 123. Dynamic Simulation in Bioengineering (4)
BENG 125,BENG 125. Modeling and Computation in Bioengineering (4)
BENG 126A,BENG 126A. Design Development in Bioinformatics Bioengineering (3)
BENG 126B,BENG 126B. Design Implementation in Bioinformatics Bioengineering (3)
BENG 127A,BENG 127A. Design Development in Molecular Systems Bioengineering (3)
BENG 127B,BENG 127B. Design Implementation in Molecular Systems Bioengineering (3)
BENG 128A,BENG 128A. Design Development in Genetic Circuits Bioengineering (3)
BENG 128B,BENG 128B. Design Implementation in Genetic Circuits Bioengineering (3)
BENG 129A,BENG 129A. Design Development in Cell Systems Bioengineering (3)
BENG 129B,BENG 129B. Design Implementation in Cell Systems Bioengineering (3)
BENG 130,BENG 130. Biotechnology Thermodynamics and Kinetics (4)
BENG 133,BENG 133. Numerical Analysis and Computational Engineering (4)
BENG 134,"BENG 134. Measurements, Statistics, and Probability (4)"
BENG 135,BENG 135. Biomedical Signals and Systems (4)
BENG 139A,BENG 139A. Design Development in Molecular Bioengineering (3)
BENG 139B,BENG 139B. Design Implementation in Molecular Bioengineering (3)
BENG 140A,BENG 140A. Bioengineering Physiology (4)
BENG 140B,BENG 140B. Bioengineering Physiology (4)
BENG 141,BENG 141. Biomedical Optics and Imaging (4)
BENG 147A,BENG 147A. Design Development in Neural Engineering (3)
BENG 147B,BENG 147B. Design Implementation in Neural Engineering (3)
BENG 148A,BENG 148A. Design Development in Cardiac Bioengineering (3)
BENG 148B,BENG 148B. Design Implementation in Cardiac Bioengineering (3)
BENG 149A,BENG 149A. Design Development in Vascular Bioengineering (3)
BENG 149B,BENG 149B. Design Implementation in Vascular Bioengineering (3)
BENG 152,BENG 152. Biosystems Engineering Laboratory (4)
BENG 160,BENG 160. Chemical and Molecular Bioengineering Techniques (4)
BENG 161A,BENG 161A. Bioreactor Engineering (4)
BENG 161B,BENG 161B. Biochemical Engineering (4)
BENG 162,BENG 162. Biotechnology Laboratory (4)
BENG 166A,BENG 166A. Cell and Tissue Engineering (4)
BENG 168,BENG 168. Biomolecular Engineering (4)
BENG 169A,BENG 169A. Design Development in Tissue Engineering (3)
BENG 169B,BENG 169B. Design Implementation in Tissue Engineering (3)
BENG 172,BENG 172. Bioengineering Laboratory (4)
BENG 179A,BENG 179A. Design Development in Bioinstrumentation (3)
BENG 179B,BENG 179B. Design Implementation in Bioinstrumentation (3)
BENG/BIMM/CSE 181,BENG/BIMM/CSE 181. Molecular Sequence Analysis (4)
BENG/BIMM/CSE/CHEM 182,BENG/BIMM/CSE/CHEM 182. Biological Databases (4)
BENG 183,BENG 183. Applied Genomic Technologies (4)
BENG/BIMM/CSE/CHEM 184,BENG/BIMM/CSE/CHEM 184. Computational Molecular Biology (4)
BENG 186A,BENG 186A. Principles of Biomaterials Design (4)
BENG 186B,BENG 186B. Principles of Bioinstrumentation Design (4)
BENG 187A,BENG 187A. Bioengineering Design Project: Planning (1)
BENG 187B,BENG 187B. Bioengineering Design Project: Development (1)
BENG 187C,BENG 187C. Bioengineering Design Project: Implementation (1)
BENG 187D,BENG 187D. Bioengineering Design Project: Presentation (1)
BENG 189,BENG 189. Physiological Systems Engineering (4)
BENG 191/291,BENG 191/291. Senior Seminar I: Professional Issues in Bioengineering (2)
BENG 193,BENG 193. Clinical Bioengineering (4)
BENG 195,BENG 195. Teaching (2–4)
BENG 196,BENG 196. Bioengineering Industrial Internship (1–4)
BENG 197,BENG 197. Engineering Internship (1–4)
BENG 198,BENG 198. Directed Group Study (1–4)
BENG 199,BENG 199. Independent Study for Undergraduates (4)
"BENG 202/CSE
				  282","BENG 202/CSE
				  282. Bioinformatics II: Introduction to Bioinformatics Algorithms (4)"
"BENG 203/CSE
				  283","BENG 203/CSE
				  283. Genomics, Proteomics, and Network Biology (4)"
BENG 207,BENG 207. Topics in Bioengineering (4)
BENG 208,BENG 208. Topics in Bioengineering with Lab (4)
BENG 211,BENG 211. Systems Biology and Bioengineering I: Biological Components (4)
BENG 212,BENG 212. Systems Biology and Bioengineering II: Large-Scale Data Analysis (4)
BENG 213,BENG 213. Systems Biology and Bioengineering III: Building and Simulating Large-Scale In Silico Models (4)
BENG 221,BENG 221. Mathematical Methods for Bioengineering (4)
BENG 223,"BENG 223. Thermodynamics, Statistical Mechanics, Interfacial Phenomena in Living Systems (4)"
BENG 225,"BENG 225. BioBusiness: Starting, Growing, and Harvesting a Biotech Company (4)"
BENG 226,BENG 226. Foundations of Bioengineering I: Tissue and Cell Properties (4)
BENG 227,BENG 227. Transport Phenomena in Living Systems (4)
BENG 230A,BENG 230A. Biochemistry (4)
BENG 230B,BENG 230B. Cell and Molecular Biology (4)
BENG 230C,BENG 230C. Cardiovascular Physiology (4)
BENG 230D,BENG 230D. Respiratory and Renal Physiology (4)
BENG 232,"BENG 232. Musculoskeletal Health, Injury, and Disease (4)"
BENG 233,BENG 233. Neuromuscular Physiology and Biomechanics (4)
BENG 234,BENG 234. Intro to Neurophysiology: Molecules to Systems (4)
BENG 235,BENG 235. Molecular Imaging and Quantitation in Living Cells (4)
BENG 238/MED 238,BENG 238/MED 238. Molecular Biology of the Cardiovascular System (4)
BENG 241A,BENG 241A. Tissue Engineering and Regenerative Medicine: Foundations (4)
BENG 241B,BENG 241B. Tissue Engineering and Regenerative Medicine: Cell Microenvironment (4)
BENG 241C,BENG 241C. Tissue Engineering and Regenerative Medicine: Development and Growth (4)
BENG 242/MATS 257/NANO 257,BENG 242/MATS 257/NANO 257. Polymer Science and Engineering (4)
BENG 247A/ECE 247A/NANO 247A,BENG 247A/ECE 247A/NANO 247A. Advanced Biophotonics (4)
BENG 247B/ECE 247B/NANO 247B,BENG 247B/ECE 247B/NANO 247B. Bioelectronics (4)
BENG 247C/ECE 247C/NANO 247C,BENG 247C/ECE 247C/NANO 247C. Bionanotechnology (4)
BENG 254,BENG 254. Synthetic Biology (4)
BENG 260/BGGN 260/PHYS 279,BENG 260/BGGN 260/PHYS 279. Neurodynamics (4)
BENG 267,BENG 267. Microcirculation in Health and Disease (4)
BENG 276/CHEM 276/MATH 276/SPPS 276,BENG 276/CHEM 276/MATH 276/SPPS 276. Numerical Analysis in Multiscale Biology (4)
BENG 277/BIOM 287,BENG 277/BIOM 287. Tissue Engineering Laboratory (4)
BENG 278/RAD 278,BENG 278/RAD 278. Magnetic Resonance Imaging (4)
BENG 280A,BENG 280A. Principles of Biomedical Imaging (4)
BENG 280B,BENG 280B. Comparative Biomedical Imaging (4)
BENG 280C,BENG 280C. Imaging Cardiovascular Disease (4)
BENG 281,BENG 281. Seminar in Bioengineering (1)
BENG 282,BENG 282. Seminar: Faculty Research (1)
BENG 283/CHEM 283/BIOM 283,BENG 283/CHEM 283/BIOM 283. Supramolecular Structure Determination Laboratory (4)
BENG 285/BNFO 285/ECE 204,BENG 285/BNFO 285/ECE 204. Statistical Learning in Bioinformatics (4)
BENG 291/191,BENG 291/191. Senior Seminar I: Professional Issues in Bioengineering (2)
BENG 292,BENG 292. Scientific Ethics (1)
BENG 295,BENG 295. Bioengineering Design Project and Industrial Training (4)
BENG 296,BENG 296. Independent Study (4)
BENG 298,BENG 298. Directed Group Study (1–4)
BENG 298L,BENG 298L. Laboratory Research Rotation (4)
BENG 299,BENG 299. Graduate Research (1–12)
BENG 500,"BENG 500. Apprentice Teaching for Specialization in Multi-Scale Biology (2, 4)"
BENG 501,"BENG 501. Teaching Experience (2, 4)"
CSE 3,CSE 3. Fluency in Information Technology (4)
CSE 4GS,CSE 4GS. Mathematical Beauty in Rome (4)
CSE 6GS,CSE 6GS. Mathematical Beauty in Rome Lab (4)
CSE 5A,CSE 5A. Introduction to Programming I (4)
CSE 8A,CSE 8A. Introduction to Computer Science: Java I (4)
CSE 8B,CSE 8B. Introduction to Computer Science: Java II (4)
CSE 11,CSE 11. Introduction to Computer Science and Object-Oriented Programming: Java (4)
CSE 12,CSE 12. Basic Data Structures and Object-Oriented Design (4)
CSE 15L,CSE 15L. Software Tools and Techniques Laboratory (2)
CSE 20,CSE 20. Discrete Mathematics (4)
CSE 21,CSE 21. Mathematics for Algorithms and Systems (4)
CSE 30,CSE 30. Computer Organization and Systems Programming (4)
CSE 42,CSE 42. Building and Programming Electronic Devices (2)
CSE 80,CSE 80. UNIX Lab (2)
CSE 86,CSE 86. C++ for Java Programmers (2)
CSE 87,CSE 87. First-year Student Seminar (1)
CSE 90,CSE 90. Undergraduate Seminar (1)
CSE 91,CSE 91. Perspectives in Computer Science and Engineering (2)
CSE 99,CSE 99. Independent Study in Computer Science and Engineering (4)
CSE 100,CSE 100. Advanced Data Structures (4)
CSE 101,CSE 101. Design and Analysis of Algorithms (4)
CSE 103,CSE 103. A Practical Introduction to Probability and Statistics (4)
CSE 105,CSE 105. Theory of Computability (4)
CSE 106,CSE 106. Discrete and Continuous Optimization (4)
CSE 107,CSE 107. Introduction to Modern Cryptography (4)
CSE 110,CSE 110. Software Engineering (4)
CSE 112,CSE 112. Advanced Software Engineering (4)
CSE 113,"CSE 113. Errors, Defects, and Failures (4)"
CSE 118,CSE 118. Ubiquitous Computing (4)
CSE 120,CSE 120. Principles of Computer Operating Systems (4)
CSE 123,CSE 123. Computer Networks (4)
CSE 124,CSE 124. Networked Services (4)
CSE 125,CSE 125. Software System Design and Implementation (4)
CSE 127,CSE 127. Introduction to Computer Security (4)
CSE 130,CSE 130. Programming Languages: Principles and Paradigms (4)
CSE 131,CSE 131. Compiler Construction (4)
CSE 132A,CSE 132A. Database System Principles (4)
CSE 132B,CSE 132B. Database Systems Applications (4)
CSE 134B,CSE 134B. Web Client Languages (4)
CSE 135,CSE 135. Online Database Analytics Applications (4)
CSE 136,CSE 136. Enterprise-Class Web Applications (4)
CSE 140,CSE 140. Components and Design Techniques for Digital Systems (4)
CSE 140L,CSE 140L. Digital Systems Laboratory (2)
CSE 141,CSE 141. Introduction to Computer Architecture (4)
CSE 141L,CSE 141L. Project in Computer Architecture (2)
CSE 143,CSE 143. Microelectronic System Design (4)
CSE 145,CSE 145. Embedded System Design Project (4)
CSE 148,CSE 148. Advanced Processor Architecture Design Project (4)
CSE 150A,CSE 150A. Introduction to Artificial Intelligence: Probabilistic Reasoning and Decision-Making (4)
CSE 150B,CSE 150B. Introduction to Artificial Intelligence: Search and Reasoning (4)
CSE 151A,CSE 151A. Introduction to Machine Learning (4)
CSE 151B,CSE 151B. Deep Learning (4)
CSE 152,CSE 152. Introduction to Computer Vision (4)
CSE 152A,CSE 152A. Introduction to Computer Vision I (4)
CSE 152B,CSE 152B. Introduction to Computer Vision II (4)
CSE 156,CSE 156. Statistical Natural Language Processing (4)
CSE 158,CSE 158. Recommender Systems and Web Mining (4)
CSE 160,CSE 160. Introduction to Parallel Computing (4)
CSE 163,CSE 163. Advanced Computer Graphics (4)
CSE 164,CSE 164. GPU Programming (4)
CSE 165,CSE 165. 3-D User Interaction (4)
CSE 166,CSE 166. Image Processing (4)
CSE 167,CSE 167. Computer Graphics (4)
CSE 168,CSE 168. Computer Graphics II: Rendering (4)
CSE 169,CSE 169. Computer Animation (4)
CSE 170,CSE 170. Interaction Design (5)
CSE 176A,CSE 176A. Health Care Robotics (4)
CSE 176E,CSE 176E. Robot Systems Design and Implementation (4)
CSE 180,CSE 180. Biology Meets Computing (4)
CSE 180R,CSE 180R. Biology Meets Computing (4)
CSE 181,CSE 181. Molecular Sequence Analysis (4)
CSE 182,CSE 182. Biological Databases (4)
CSE 184,CSE 184. Computational Molecular Biology (4)
CSE 185,CSE 185. Advanced Bioinformatics Laboratory (4)
CSE 190,CSE 190. Topics in Computer Science and Engineering (4)
CSE 191,CSE 191. Seminar in CSE (1–4)
CSE 192,CSE 192. Senior Seminar in Computer Science and Engineering (1)
CSE 193,CSE 193. Introduction to Computer Science Research (4)
CSE 195,CSE 195. Teaching (4)
CSE 197,"CSE 197. Field Study in Computer Science and Engineering (4, 8, 12, or 16)"
CSE 198,CSE 198. Directed Group Study (2 or 4)
CSE 199,CSE 199. Independent Study for Undergraduates (2 or 4)
CSE 199H,CSE 199H. CSE Honors Thesis Research for Undergraduates (4)
CSE 200,CSE 200. Computability and Complexity (4)
CSE 201A,CSE 201A. Advanced Complexity (4)
CSE 202,CSE 202. Algorithm Design and Analysis (4)
CSE 203A,CSE 203A. Advanced Algorithms (4)
CSE 203B,CSE 203B. Convex Optimization Formulations and Algorithms (4)
CSE 205A,CSE 205A. Logic in Computer Science (4)
CSE 206A,CSE 206A. Lattice Algorithms and Applications (4)
CSE 207,CSE 207. Modern Cryptography (4)
CSE 208,CSE 208. Advanced Cryptography (4)
CSE 209A,"CSE 209A. Topics/Seminar in Algorithms, Complexity, and Logic (1–4)"
CSE 209B,CSE 209B. Topics/Seminar in Cryptography (1–4)
CSE 210,CSE 210. Principles of Software Engineering (4)
CSE 211,CSE 211. Software Testing and Analysis (4)
CSE 216,CSE 216. Research Topics in Human-Computer Interaction (4)
CSE 218,CSE 218. Advanced Topics in Software Engineering (4)
CSE 219,CSE 219. Design at Large (1)
CSE 221,CSE 221. Operating Systems (4)
CSE 222A,CSE 222A. Computer Communication Networks (4)
CSE 222B,CSE 222B. Internet Algorithmics (4)
CSE 223B,CSE 223B. Distributed Computing and Systems (4)
CSE 224,CSE 224. Graduate Networked Systems (4)
CSE 227,CSE 227. Computer Security (4)
CSE 229A,CSE 229A. Topics/Seminar in Computer Systems (1–4)
CSE 229C,CSE 229C. Topics/Seminar in Computer Security (1–4)
CSE 230,CSE 230. Principles of Programming Languages (4)
CSE 231,CSE 231. Advanced Compiler Design (4)
CSE 232,CSE 232. Principles of Database Systems (4)
CSE 232B,CSE 232B. Database System Implementation (4)
CSE 233,CSE 233. Database Theory (4)
CSE 237A,CSE 237A. Introduction to Embedded Computing (4)
CSE 237B,CSE 237B. Software for Embedded Systems (4)
CSE 237C,CSE 237C. Validation and Testing of Embedded Systems (4)
CSE 237D,CSE 237D. Design Automation and Prototyping for Embedded Systems (4)
CSE 239A,CSE 239A. Topics/Seminar in Databases (1–4)
CSE 240A,CSE 240A. Principles of Computer Architecture (4)
CSE 240B,CSE 240B. Parallel Computer Architecture (4)
CSE 240C,CSE 240C. Advanced Microarchitecture (4)
"CSE 241A/ECE
		  260B","CSE 241A/ECE
		  260B. VLSI Integration of Computing Circuitry (4)"
CSE 243A,CSE 243A. Introduction to Synthesis Methodologies in VLSI CAD (4)
CSE 244A,CSE 244A. VLSI Test (4)
CSE 245,CSE 245. Computer Aided Circuit Simulation and Verification (4)
CSE 248,CSE 248. Algorithmic and Optimization Foundations for VLSI CAD (4)
CSE 249A,CSE 249A. Topics/Seminar in Computer Architecture (1–4)
CSE 249B,CSE 249B. Topics/Seminar in VLSI (1–4)
CSE 250A,CSE 250A. Principles of Artificial Intelligence: Probabilistic Reasoning and Learning (4)
CSE 250B,CSE 250B. Principles of Artificial Intelligence: Learning Algorithms (4)
CSE 250C,CSE 250C. Machine Learning Theory (4)
CSE 252A,CSE 252A. Computer Vision I (4)
CSE 252B,CSE 252B. Computer Vision II (4)
CSE 252C,CSE 252C. Selected Topics in Vision and Learning (1–4)
CSE 253,CSE 253. Neural Networks for Pattern Recognition (4)
CSE 254,CSE 254. Statistical Learning (4)
CSE 255,CSE 255. Data Mining and Predictive Analytics (4)
CSE 256/LING 256,CSE 256/LING 256. Statistical Natural Language Processing (4)
CSE 257,CSE 257. Search and Optimization (4)
CSE 258,CSE 258. Recommender Systems and Web Mining (4)
CSE 258A,CSE 258A. Cognitive Modeling (4)
CSE 259,CSE 259. Seminar in Artificial Intelligence (1)
CSE 260,CSE 260. Parallel Computation (4)
CSE 262,CSE 262. System Support for Applications of Parallel Computation (4)
CSE 272,CSE 272. Advanced Image Synthesis (4)
CSE 274,CSE 274. Selected Topics in Graphics (2–4)
CSE 276A,CSE 276A. Introduction to Robotics (4)
CSE 276B,CSE 276B. Human Robot Interaction (4)
CSE 276C,CSE 276C. Mathematics for Robotics (4)
CSE 276D,CSE 276D. Healthcare Robotics (4)
CSE 276E,CSE 276E. Robot Systems Design and Implementation (4)
CSE 280A,CSE 280A. Algorithms in Computational Biology (4)
CSE 282/BENG 202,CSE 282/BENG 202. Bioinformatics II: Sequence and Structure Analysis—Methods and Applications (4)
CSE 283/BENG 203,CSE 283/BENG 203. Bioinformatics III: Functional Genomics (4)
CSE 284,CSE 284. Personal Genomics for Bioinformaticians (4)
CSE 290,CSE 290. Seminar in Computer Science and Engineering (1–4)
CSE 291,CSE 291. Topics in Computer Science and Engineering (1–4)
CSE 292,CSE 292. Faculty Research Seminar (1)
CSE 293,CSE 293. Special Project in Computer Science and Engineering (1–12)
CSE 294,CSE 294. Research Meeting in CSE (2)
CSE 298,CSE 298. Independent Study (1–16)
CSE 299,CSE 299. Research (1–16)
CSE 500,CSE 500. Teaching Assistantship (2–4)
CSE 599,CSE 599. Teaching Methods in Computer Science (2)
ECE 5,ECE 5. Introduction to Electrical and Computer Engineering (4)
ECE 15,ECE 15. Engineering Computation (4)
ECE 16,ECE 16. Rapid Hardware and Software Design for Interfacing with the World (4)
ECE 17,ECE 17. Object-Oriented Programming: Design and Development with C++ (4)
ECE 25,ECE 25. Introduction to Digital Design (4)
ECE 30,ECE 30. Introduction to Computer Engineering (4)
ECE 35,ECE 35. Introduction to Analog Design (4)
ECE 45,ECE 45. Circuits and Systems (4)
ECE 65,ECE 65. Components and Circuits Laboratory (4)
ECE 85,ECE 85. iTunes 101: A Survey of Information Technology (4)
ECE 87,ECE 87. First-year Student Seminar (1)
ECE 90,ECE 90. Undergraduate Seminar (1)
ECE 100,ECE 100. Linear Electronic Systems (4)
ECE 101,ECE 101. Linear Systems Fundamentals (4)
ECE 102,ECE 102. Introduction to Active Circuit Design (4)
ECE 103,ECE 103. Fundamentals of Devices and Materials (4)
ECE 107,ECE 107. Electromagnetism (4)
ECE 108,ECE 108. Digital Circuits (4)
ECE 109,ECE 109. Engineering Probability and Statistics (4)
ECE 111,ECE 111. Advanced Digital Design Project (4)
ECE 115,ECE 115. Fast Prototyping (4)
ECE 118,ECE 118. Computer Interfacing (4)
ECE 120,ECE 120. Solar System Physics (4)
ECE 121A,ECE 121A. Power Systems Analysis and Fundamentals (4)
ECE 121B,ECE 121B. Energy Conversion (4)
ECE 123,ECE 123. Antenna Systems Engineering (4)
ECE 124,ECE 124. Motor Drives (4)
ECE 125A,ECE 125A. Introduction to Power Electronics I (4)
ECE 125B,ECE 125B. Introduction to Power Electronics II (4)
ECE 128A,ECE 128A. Real World Power Grid Operation (4)
ECE 128B,ECE 128B. Power Grid Modernization (4)
ECE 128C,ECE 128C. Power Grid Resiliency to Adverse Effects (4)
ECE 129,ECE 129. Renewable and Energy Storage Resources (4)
ECE 134,ECE 134. Electronic Materials Science of Integrated Circuits (4)
ECE 135A,ECE 135A. Semiconductor Physics (4)
ECE 135B,ECE 135B. Electronic Devices (4)
ECE 136L,ECE 136L. Microelectronics Laboratory (4)
ECE 138L,ECE 138L. Microstructuring Processing Technology Laboratory (4)
ECE 140A,ECE 140A. The Art of Product Engineering I (4)
ECE 140B,ECE 140B. The Art of Product Engineering II (4)
ECE 141A,ECE 141A. Software Foundations I (4)
ECE 141B,ECE 141B. Software Foundations II (4)
ECE 143,ECE 143. Programming for Data Analysis (4)
ECE 144,ECE 144. LabVIEW Programming: Design and Applications (4)
ECE 145AL-BL-CL,ECE 145AL-BL-CL. Acoustics Laboratory (4-4-4)
ECE 148,ECE 148. Introduction to Autonomous Vehicles (4)
ECE 150,ECE 150. Entrepreneurship for Engineers (4)
ECE 153,ECE 153. Probability and Random Processes for Engineers (4)
ECE 155,ECE 155. Digital Communications Theory (4)
ECE 156,ECE 156. Sensor Networks (4)
ECE 157A,ECE 157A. Communications Systems Laboratory I (4)
