id,label
ANAR 186,ANAR 186. The Human Era: The Archaeology of the Anthropocene (4)
ANAR 190,ANAR 190. Eastern Mediterranean Archaeological Field School (12)
ANAR 191,ANAR 191. Advanced Cyber-Archaeology Field School (12)
"ANBI
				    100","ANBI
				    100. Special Topics in Biological Anthropology (4)"
ANBI 109,ANBI 109. Brain Mind Workshop (2)
ANBI 111,ANBI 111. Human Evolution (4)
ANBI 112,ANBI 112. Methods in Human Comparative Neuroscience (4)
ANBI 114,ANBI 114. Methods in Primate Conservation (4)
"ANBI
				    116","ANBI
				    116. Human Sexuality in an Evolutionary Perspective (4)"
ANBI 117,ANBI 117. Ancient Genomics: Who We Are and How We Got Here (4)
ANBI 118,ANBI 118. Technology on the Go: Mobile Tools for Human Biology (4)
ANBI 120,ANBI 120. Ethical Dilemmas in Biological Anthropology (4)
ANBI 121,ANBI 121. The Original Moonshot: The Voyaging Achievements of the Polynesian Ancestors (4)
ANBI 130,ANBI 130. Biology of Inequality (4)
ANBI 131,ANBI 131. Biology and Culture of Race (4)
"ANBI
				    132","ANBI
				    132. Conservation and the Human Predicament (4)"
ANBI 133,ANBI 133. Planet of the Apes: Evolution and Ecology of the Great Ape (4)
ANBI 134,ANBI 134. Human Evolutionary Genetics (4)
ANBI 135,ANBI 135. Genetic Anthropology Lab Techniques (4)
ANBI 136,ANBI 136. Human Comparative Neuroanatomy (4)
ANBI 139,ANBI 139. Evolution of Human Disease (4)
ANBI 140,ANBI 140. The Evolution of the Human Brain (4)
ANBI 141,ANBI 141. The Evolution of Human Diet (4)
ANBI 143,ANBI 143. The Human Skeleton (4)
ANBI 144,ANBI 144. Human Anatomy (4)
ANBI 145,ANBI 145. Bioarcheology (4)
ANBI 146,ANBI 146. Stable Isotopes in Ecology (4)
ANBI 148,ANBI 148. Not by Genes Alone: The Ecology and Evolution of Primate Behavior (4)
ANBI 149,ANBI 149. Social and Behavioral Epigenetics (4)
ANBI 159,ANBI 159. Biological and Cultural Perspectives on Intelligence (4)
ANBI 173,ANBI 173. How Monkeys See the World (4)
ANBI 174,ANBI 174. Conservation and the Media: Film Lab (4)
ANBI 175,ANBI 175. Paleofantasy: The Evidence for Our Early Ancestors (4)
ANSC 100,ANSC 100. Special Topics in Sociocultural Anthropology (4)
ANSC 101,ANSC 101. Aging: Culture and Health in Late Life Human Development (4)
ANSC 101A,ANSC 101A. Korean Wave Media and Cultural Change (4)
ANSC 104,ANSC 104. The US-Mexico Border (4)
ANSC 105,ANSC 105. Global Health and Inequality (4)
ANSC 105GS,ANSC 105GS. Global Health and Inequality (4)
ANSC 105S,ANSC 105S. Global Health and Inequality—Study Abroad (4)
ANSC 106,ANSC 106. Global Health: Indigenous Medicines in Latin America (4)
ANSC 106S,ANSC 106S. Global Health: Indigenous Medicines in Latin America—Study Abroad (4)
ANSC 106GS,ANSC 106GS. Global Health: Indigenous Medicines in Latin America (4)
ANSC 110,ANSC 110. Societies and Cultures of the Caribbean (4)
ANSC 111,ANSC 111. The Chinese Heritage in Taiwan (4)
ANSC 113,"ANSC 113. Language, Style, and Youth Identities (4)"
ANSC 114,ANSC 114. Food Cultures of South Asia (4)
ANSC 116,ANSC 116. Languages of the Americas: Mayan (4)
ANSC 117,ANSC 117. Transgenderisms (4)
ANSC 118,ANSC 118. Language and Culture (4)
ANSC 119,"ANSC 119. Gesture, Communication, and the Body (4)"
ANSC 119GS,"ANSC 119GS. Gesture, Communication, and the Body (4)"
ANSC 120,ANSC 120. Anthropology of Religion (4)
ANSC 121,ANSC 121. Psychological Anthropology (4)
ANSC 122,ANSC 122. Language in Society (4)
ANSC 123,ANSC 123. Political Anthropology (4)
ANSC 124,ANSC 124. Cultural Anthropology (4)
ANSC 125,"ANSC 125. Gender, Sexuality, and Society (4)"
ANSC 125GS,"ANSC 125GS. Gender, Sexuality, and Society (4)"
ANSC 126,ANSC 126. Childhood and Adolescence (4)
ANSC 127,"ANSC 127. Discourse, Interaction, and Social Life (4)"
ANSC 129,ANSC 129. Meaning and Healing (4)
ANSC 130,ANSC 130. Hinduism (4)
ANSC 131,"ANSC 131. Language, Law, and Social Justice (4)"
ANSC 132,ANSC 132. Sex and Love (4)
ANSC 133,ANSC 133. Peoples and Cultures of the Middle East (4)
ANSC 134,ANSC 134. The Politics of Environmental Change (4)
ANSC 135,ANSC 135. Indigenous Peoples of Latin America (4)
ANSC 135GS,ANSC 135GS. Indigenous Peoples of Latin America (4)
ANSC 136,ANSC 136. Traditional Chinese Society (4)
ANSC 137,ANSC 137. Chinese Popular Religion (4)
ANSC 138,ANSC 138. The Cultural Design Practicum: Using Anthropology to Solve Human Problems (4)
ANSC 139,ANSC 139. Native American Health and Healing (4)
ANSC 140,ANSC 140. Human Rights II: Contemporary Issues (4)
ANSC 141,"ANSC 141. Language, Politics, and Identity (4)"
ANSC 142,ANSC 142. Anthropology of Latin America (4)
ANSC 143,ANSC 143. Mental Health as Global Health Priority (4)
ANSC 144,ANSC 144. Immigrant and Refugee Health (4)
ANSC 145,ANSC 145. Indigenous Peoples of North America (4)
ANSC 146,ANSC 146. A Global Health Perspective on HIV (4)
ANSC 147,ANSC 147. Global Health and the Environment (4)
ANSC 148,ANSC 148. Global Health and Cultural Diversity (4)
ANSC 149,"ANSC 149. Conflict, Health, and Inequality (4)"
ANSC 150,ANSC 150. Culture and Mental Health (4)
ANSC 151,ANSC 151. US-Mexico Border Ethnographies (4)
ANSC 153,ANSC 153. War in Lived Experience (4)
ANSC 154,ANSC 154. Gender and Religion (4)
ANSC 155,ANSC 155. Humanitarian Aid: What Is It Good For? (4)
ANSC 156,ANSC 156. Mad Films: Cultural Studies of Mental Illness in Cinema (4)
ANSC 158,ANSC 158. Comparative Anthropology of Crisis (4)
ANSC 159,ANSC 159. The Anthropology of Marriage (4)
"ANSC
		    160","ANSC
		    160. Nature, Culture, and Environmentalism (4)"
ANSC 161,ANSC 161. California: Undergraduate Research Seminar (4)
ANSC 162,"ANSC 162. Language, Identity, and Community (4)"
ANSC 164,ANSC 164. Introduction to Medical Anthropology (4)
ANSC 165,ANSC 165. Contemporary South Asia (4)
ANSC 166,ANSC 166. Film and Culture in Asia (4)
